"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2018009918","","","","","","","","","","","","","","","","","","","","Y","N","N","Y","2"
"2018048514","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","1"
"2018057215","Y","U","U","Y","N","N","0","U","U","01450","N","","","","","","","","N","","","","","2"
"2018096387","Y","Y","U","Y","U","U","3","Y","N","01200","N","","","","","","","","N","","","","","1"
"2018107048","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","3"
"2018120071","N","Y","Y","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2018023040","","","","","","","","","","","","","","","","","","","","U","U","U","U","1"
"2018045789","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2018049153","N","Y","U","Y","Y","Y","1","Y","Y","00250","N","","","","","","","","N","","","","","1"
"2018051735","Y","N","U","N","","","0","Y","N","01450","N","","","","","","","","N","","","","","2"
"2018051947","Y","Y","Y","N","N","N","0","Y","Y","01753","N","","","","","","","","N","","","","","2"
"2018061245","Y","N","U","Y","Y","Y","1","Y","Y","00200","N","","","","","","","","N","","","","","1"
"2018067185","Y","Y","U","Y","N","N","0","Y","N","01200","N","","","","","","","","N","","","","","1"
"2018070892","N","U","U","U","U","U","9","U","U","00650","N","","","","","","","","N","","","","","2"
"2018081500","Y","U","N","U","N","N","0","Y","N","01449","N","","","","","","","","N","","","","","1"
"2018081815","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2018081947","N","N","N","N","N","N","0","N","N","00125","Y","N","N","N","N","0","N","N","N","","","","","1"
"2018083169","N","N","U","U","U","Y","1","N","U","99999","N","","","","","","","","N","","","","","2"
"2018090437","N","Y","Y","Y","Y","Y","1","Y","Y","00750","N","","","","","","","","N","","","","","2"
"2018097535","N","N","U","N","","","0","Y","N","00050","N","","","","","","","","N","","","","","2"
"2018097830","","","","","","","","","","","","","","","","","","","","N","N","N","Y","1"
"2018100396","Y","Y","U","Y","","","0","Y","N","01584","N","","","","","","","","N","","","","","1"
"2018106322","Y","Y","Y","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","","","","","2"
"2018106520","N","N","U","Y","Y","N","1","Y","N","00600","N","","","","","","","","N","","","","","2"
"2018108501","U","U","U","U","U","U","9","U","U","01500","N","","","","","","","","U","","","","","2"
"2018113870","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2018130559","N","N","U","N","N","N","0","Y","N","01343","N","","","","","","","","N","","","","","1"
"2018031741","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
